"nr","cod LMI","val","SIRUTA_judet","judet","SIRUTA_UAT","rang","UAT","SIRUTA","localitate","denumire","adresa","latitudine","longitudine","cota","cod postal","stare generală","program","tipul monumentului","datare","tipul patrimoniului","observatii"
984,"CJ-II-m-A-07241.01","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Turn și fragment din zidul primei incinte a orașului medieval","Piața Unirii 25 și str.Toplița 10",46.771098,23.589165,347,400113,"-","Clădiri cu caracter militar (fortificații, cetăți etc.)","Turn de apărare",1376,"Patrimoniu reprezentativ","Inaccesibil."
747,"CJ-II-m-A-07241.02","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul roman suprapus de zidul primei incinte medievale","Str. Barițiu George 25",46.772005,23.58558,343,400027,"-",,"Zid","sec. XIII - XVI","Patrimoniu reprezentativ","Inaccesibil."
938,"CJ-II-m-A-07241.03","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul primei incinte a orașului medieval","Str. Petroșani 1-3",46.770793,23.587515,347,400022,"Stare medie","Clădiri cu caracter militar (fortificații, cetăți etc.)","Zid","sec. XIII","Patrimoniu reprezentativ","Str. Virgil Fulicea 1-3."
940,"CJ-II-m-A-07241.04","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul primei incinte a orașului medieval","Str. Petroșani 21-23",46.770017,23.585481,349,400022,"Stare bună","Clădiri cu caracter militar (fortificații, cetăți etc.)","Zid","sec. XIII","Patrimoniu reprezentativ","Str. Virgil Fulicea 21-23."
849,"CJ-II-m-A-07241.05","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul primei incinte a orașului medieval","Str. Isac Emil 10 și str. Pavel Chinezu 5, în curtea Liceului G. Barițiu",46.770542,23.585385,347,400023,"Stare medie","Clădiri cu caracter militar (fortificații, cetăți etc.)","Zid","sec. XIII -XV","Patrimoniu reprezentativ",
779,"CJ-II-m-A-07241.06","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul primei incinte a orașului medieval","Str. Deleu 2-4, Str. Doja Gheorghe 17-25",46.772215,23.588387,347,400112,"Stare medie",,"Zid","sec. XIII -XV","Patrimoniu reprezentativ","Str. Deleu 2-4, Strada Regele Ferdinand 17-25"
838,"CJ-II-m-A-07242.01","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Bastionul Postăvarilor","Str. Iancu Avram 9",46.76665,23.589349,353,400089,"Stare medie","Clădiri cu caracter militar (fortificații, cetăți etc.)","Turn de apărare","sec. XV","Patrimoniu reprezentativ",
840,"CJ-II-m-A-07242.02","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Bastionul Cizmarilor","Str. Iancu Avram 13",46.766646,23.590748,354,400083,"Stare medie","Clădiri cu caracter militar (fortificații, cetăți etc.)","Turn de apărare","sec. XV","Patrimoniu reprezentativ","Construcție asemănătoare cu un turn lipită alte clădiri. Posibil Bastionul Cizmarilor."
955,"CJ-II-m-A-07242.03","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Turnul Pompierilor","Str. Tipografiei 17",46.773388,23.590913,341,400101,"Stare medie","Clădiri cu caracter militar (fortificații, cetăți etc.)","Turn de apărare","1405, partea superioară sec. XIX","Patrimoniu reprezentativ","În curs de restaurare."
843,"CJ-II-m-A-07242.04","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Turnul Zidarilor și fragment din zidul celei de a doua incinte a orașului medieval","Str. Iancu Avram 17",46.766674,23.591996,352,400083,"-","Clădiri cu caracter militar (fortificații, cetăți etc.)","Turn de apărare","sec. XV","Patrimoniu reprezentativ","Inaccesibil."
942,"CJ-II-m-A-07242.05","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul celei de a doua incinte a orașului medieval","Str. Potaissa 1-3",46.766639,23.589228,353,400090,"Stare medie","Clădiri cu caracter militar (fortificații, cetăți etc.)",,"sec. XV","Patrimoniu reprezentativ",
743,"CJ-II-m-A-07242.06","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul celei de a doua incinte a orașului medieval","Str. Baba Novac 15",46.770968,23.595806,346,400080,"-","Clădiri cu caracter militar (fortificații, cetăți etc.)","Zid",1406,"Patrimoniu reprezentativ","Posibil înglobat în construcție. Piatră inscripționată vizibilă la casa de la nr. 15."
744,"CJ-II-m-A-07271","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Bastionul Bethlen (fost Turnul Croitorilor)","Str. Baba Novac 35",46.768054,23.597476,345,400080,"Stare foarte bună","Clădiri cu caracter militar (fortificații, cetăți etc.)","Turn de apărare","sec. XV-XVII, ref.sec. XIX","Patrimoniu reprezentativ",
759,"CJ-II-m-A-07285","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Palatul Tholdalagy-Korda, azi Universitatea ""Babeș-Bolyai"" -administrația tehnică","Str. Brătianu I.C. 14",46.768693,23.593652,348,400079,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX","Patrimoniu reprezentativ",
764,"CJ-II-m-A-07290","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa Aurarului","Str. Brătianu I.C. 27",46.768843,23.593491,347,400079,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
778,"CJ-II-m-A-07304","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica ""Nașterea Maicii Domnului""","Str. Dârjan Traian 8",46.785305,23.653034,321,400402,"Stare bună","Clădire de cult","Biserică",1750,"Patrimoniu religios","Alterată major prin intervenții."
781,"CJ-II-m-A-07305.01","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica franciscană","Str. Deleu 2-4",46.772003,23.587812,346,400112,"Stare medie","Clădire de cult","Biserică","sec. XV-XVIII","Patrimoniu religios",
815,"CJ-II-m-A-07338","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa mică Banffy","Bd. Eroilor 32",46.769999,23.594732,345,400129,"Stare bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX","Patrimoniu domestic urban",
832,"CJ-II-m-A-07355","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Teatrul Național","Piața Iancu Avram 2",46.770195,23.59744,347,400098,"Stare bună","Clădire cu alte funcțiuni",,"1904 -1906","Patrimoniu reprezentativ",
852,"CJ-II-m-A-07371","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Liceul ""Báthory"", fost liceu al Piariștilor","Str. Kogălniceanu Mihail 2 și str. Universității 7-9",46.767207,23.59144,354,400084,"Stare medie","Clădire pentru învățământ",,"1817-1821","Patrimoniu reprezentativ",
856,"CJ-II-m-A-07375","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Palatul Teleki","Str. Kogălniceanu Mihail 7",46.76793,23.593479,348,400084,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1790 -1795","Patrimoniu reprezentativ","În curs de restaurare."
860,"CJ-II-m-A-07378.01","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Kogălniceanu Mihail 13",46.768129,23.594679,348,400084,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1790 -1802","Patrimoniu domestic urban",
862,"CJ-II-m-A-07378.02","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Kogălniceanu Mihail 15",46.768129,23.594679,348,400084,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1790 -1802","Patrimoniu domestic urban",
864,"CJ-II-m-A-07378.03","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Kogălniceanu Mihail 17",46.768129,23.594679,348,400084,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1790 -1802","Patrimoniu domestic urban",
863,"CJ-II-m-A-07380","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica reformată Matia","Str. Kogălniceanu Mihail 16",46.768132,23.595592,347,400084,"Stare medie","Clădire de cult","Biserică","1486 -1494, ref.1644","Patrimoniu religios",
876,"CJ-II-m-A-07388","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa universitarilor, azi Colegiul academic","Str. ""Emmanuel de Martonne"" 1 și str. Brătianu I.C. 4",46.767823,23.59248,351,400090,"Stare bună","Clădire pentru învățământ",,"1928 - 1936","Patrimoniu reprezentativ",
881,"CJ-II-m-A-07393","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa Matia, azi Academia de Arte Vizuale ""Ion Andreescu""","Str. Matei Corvin 6",46.771082,23.587482,346,400112,"Stare foarte bună","Clădire pentru turism","Han","sec. XV-XVIII","Patrimoniu reprezentativ","În curs de restaurare. Interior inaccesibil."
884,"CJ-II-m-A-07396","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica Mănăștur - Calvaria","Str. Mănășturului 12",46.761264,23.557954,359,400372,"Stare bună","Clădire de cult","Biserică","sec. XIII - XIX","Patrimoniu religios","Aleea Grădini Mănăștur."
948,"CJ-II-m-A-07458","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa Tătaru","Str. Rosetti 17",46.775612,23.570297,385,400306,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1929,"Patrimoniu domestic urban","În curs de restaurare."
960,"CJ-II-m-A-07469","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica romano-catolică ""Sf. Mihail""","Piața Unirii 0",46.769993,23.589526,347,400133,"Stare medie","Clădire de cult","Biserică","1349 -1480","Patrimoniu religios","În curs de restaurare."
988,"CJ-II-m-A-07497","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Palatul Banffy, azi Muzeul de Artă","Piața Unirii 30",46.7706,23.590386,348,400098,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1774 -1785","Patrimoniu reprezentativ","În curs de restaurare."
989,"CJ-II-m-A-07498","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa Wolphard Kakas, azi Universitatea de Arte Vizuale ""Ion Andreescu"" și banca ""Société Générale""","Piața Unirii 31",46.769776,23.590853,349,400098,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX","Patrimoniu domestic urban",
990,"CJ-II-m-A-07499","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica Piariștilor, azi biserica romano-catolică ""Sf. Treime""","Str. Universității 5",46.767894,23.590477,353,400091,"Stare bună","Clădire de cult","Biserică","1718 -1724","Patrimoniu religios",
799,"CJ-II-a-B-07324","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Mănăstirea minoriților","Bd. Eroilor 8-10",46.769382,23.592505,347,400129,"Stare bună","Clădire de cult","Mănăstire","sec. XVI - XIX","Patrimoniu religios",
716,"CJ-II-a-B-07415","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Ansamblul urban ""Piața Mihai Viteazul""","Zona delimitată de: limita vestică a parcelei din piața Mihai Viteazul nr.1, str. Doja nr.38 până la Someș , cheiul drept sudic al râului Someș, de la podul Gh. Doja până la str. Iașilor nr. 16 , str. Iașilor frontul sudic (identic cu piața Mihai Viteazul nr.1)",,,,,"Stare medie",,,"sec. XVIII-XIX","Patrimoniu reprezentativ",
945,"CJ-II-a-B-07455","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Grădina Botanică","Str. Republicii 42",46.761963,23.588785,392,400015,"Stare bună","Amenajare peisajeră-agrement (parc, grădină, scuar ș.a.)",,1920,"Patrimoniu reprezentativ",
951,"CJ-II-a-B-07461","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Secția în aer liber a Muzeului Etnografic al Transilvaniei","Str. Tăietura Turcului, Dealul Hoia",46.777136,23.560323,385,400285,"-","Amenajare peisajeră-agrement (parc, grădină, scuar ș.a.)",,,"Patrimoniu reprezentativ","Inaccesibil. (la momentul vizitei era închis, deși conform orarului trebuia să fie deschis)"
710,"CJ-II-m-B-07243.01","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Ateliere pictură (fostă expoziție)","Parcul Central",46.770401,23.578802,346,400376,"Stare medie","Clădire pentru învățământ",,1940,"Patrimoniu reprezentativ",
711,"CJ-II-m-B-07243.02","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fântână arteziană","Parcul Central",46.768784,23.577183,344,400376,"Stare bună","Amenajare peisajeră-agrement (parc, grădină, scuar ș.a.)",,1897,"Patrimoniu reprezentativ",
712,"CJ-II-m-B-07243.03","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Chioșc fanfară","Parcul Central",46.768738,23.576692,344,400376,"Stare bună","Amenajare peisajeră-agrement (parc, grădină, scuar ș.a.)",,1897,"Patrimoniu reprezentativ",
713,"CJ-II-m-B-07243.04","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Pavilionul de patinaj","Parcul Central",46.7681,23.575969,343,400376,"Stare bună","Clădire cu alte funcțiuni",,1897,"Patrimoniu reprezentativ","Se referă la clădirea ”Chios”."
714,"CJ-II-m-B-07243.05","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Kiosk","Parcul Central",46.768917,23.577868,344,400376,"Stare foarte bună","Clădire cu alte funcțiuni",,1897,"Patrimoniu reprezentativ","Se referă la clădirea ”Casino”."
741,"CJ-II-m-B-07245","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica romano-catolică ""Sf. Petru""","Bd. 21 Decembrie 1989 136 -138",46.776756,23.607309,336,400604,"Stare bună","Clădire de cult","Biserică","sec. XIV-XIX","Patrimoniu religios",
718,"CJ-II-m-B-07246","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Hotel Melody","Bd. 21 Decembrie 1989 2 și Piața Unirii nr.29",46.770863,23.590179,347,400094,"Stare medie","Clădire cu alte funcțiuni",,"sec. XVI - XIX","Patrimoniu reprezentativ",
719,"CJ-II-m-B-07247","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Bd. 21 Decembrie 1989 3",46.77142,23.590832,346,400105,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XV - XVI","Patrimoniu domestic urban",
720,"CJ-II-m-B-07248","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Bd. 21 Decembrie 1989 4",46.771053,23.590677,347,400094,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX","Patrimoniu domestic urban",
721,"CJ-II-m-B-07249","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Colegiul unitarian, azi Liceul sanitar","Bd. 21 Decembrie 1989 7",46.771675,23.591463,345,400105,"Stare medie","Clădire pentru învățământ",,"sec. XVIII-XIX","Patrimoniu reprezentativ","Se referă la Liceul Teoretic Brassai Sámuel."
722,"CJ-II-m-B-07250","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Liceul ""Brassai""","Bd. 21 Decembrie 1989 9",46.77199,23.592429,344,400105,"Stare medie","Clădire pentru învățământ",,"sec. XIX","Patrimoniu reprezentativ","Se referă la Liceul János Zsigmond."
723,"CJ-II-m-B-07251","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica unitariană","Bd. 21 Decembrie 1989 9",46.771778,23.591789,345,400105,"Stare medie","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios",
724,"CJ-II-m-B-07252","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa profesorilor unitarieni","Bd. 21 Decembrie 1989 10 și str.Bolyai János nr.10",46.771169,23.591106,347,400094,"Stare bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII-XIX","Patrimoniu religios",
725,"CJ-II-m-B-07253","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Bd. 21 Decembrie 1989 12",46.771261,23.591385,346,400094,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII-XIX","Patrimoniu domestic urban",
726,"CJ-II-m-B-07254","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Reședința episcopului unitarian","Bd. 21 Decembrie 1989 14",46.771289,23.591549,346,400094,"Stare bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XV - XIX","Patrimoniu religios",
727,"CJ-II-m-B-07255","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa parohială a bisericii unitariene","Bd. 21 Decembrie 1989 16-18",46.771376,23.591782,346,400094,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu religios","Casa de la nr. 16 alterată prin supraetajare."
728,"CJ-II-m-B-07256","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Sediul P.S.D.","Bd. 21 Decembrie 1989 19",46.772283,23.593822,342,400105,"-","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII-XIX","Patrimoniu domestic urban","Locație eronată. Clădirea de la adresa din listă este de secol XX."
729,"CJ-II-m-B-07257","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Bd. 21 Decembrie 1989 20",46.771442,23.592042,346,400094,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX","Patrimoniu domestic urban","Poziție probabilă."
